测试集真实值,测试集预测值
87,79.43002319
70,87.04239655
113,81.30752563
85,96.45381165
44,88.09207916
67,70.57276917
54,75.0111618
46,70.16210938
51,65.28656006
50,65.34268188
67,64.15398407
32,69.90564728
46,56.84647369
60,58.62960052
48,64.00997925
34,60.0781517
36,53.2708931
53,51.93873978
36,57.95609665
35,52.30335617
44,50.20808411
50,52.94345856
86,55.76477432
78,70.78782654
67,71.31771088
60,67.96048737
85,65.17128754
149,75.04341888
44,103.1710434
110,69.62278748
77,89.39470673
83,81.15794373
48,82.79277802
89,69.93745422
44,83.30105591
28,68.43583679
36,58.47255707
84,58.31611633
36,76.50931549
125,60.79262924
49,92.19677734
51,68.61172485
48,64.43815613
53,61.93963623
39,63.03455734
50,57.4396286
47,60.08866882
126,59.12717056
79,90.31910706
51,78.40657806
77,66.10220337
52,73.79379272
35,65.95381927
37,57.65806198
28,56.18997192
20,51.75490189
52,46.71054077
28,57.39191055
33,49.56655502
45,48.85949707
75,52.76581573
71,65.28168488
37,66.53124237
51,53.8877182
21,56.59806061
65,45.52876663
81,60.37439346
96,70.39329529
67,79.13124847
58,70.63291168
32,66.11086273
50,55.33086777
49,59.95172501
39,60.57820892
47,56.5970993
14,58.48991776
25,45.39538193
40,45.6493988
57,50.88380432
60,58.26628113
24,60.82302475
21,47.09541321
36,42.13026047
57,46.47559738
83,55.71945572
59,68.36351776
41,62.2556839
57,54.45217896
89,59.33795929
35,73.70791626
50,56.41537857
44,58.70018387
54,57.04389191
48,60.70588303
41,59.19242477
38,56.0007515
51,53.80428314
33,58.12614822
57,51.68845367
62,59.36453629
57,62.96284485
30,61.87651825
56,51.07526398
67,58.69936752
63,64.89801025
41,64.98832703
34,56.70038986
38,52.04276276
51,52.35752869
56,57.41916656
35,60.47110367
15,52.83080292
71,42.78484344
40,62.35044861
52,54.36870956
64,57.21357346
58,62.67663193
136,61.77996063
35,93.14276123
49,61.22728729
53,60.29307175
36,61.92435455
72,55.77215576
48,68.63507843
112,62.04397964
45,86.14241028
57,65.27450562
56,65.67832184
41,65.31931305
20,59.24287796
39,49.15615845
53,53.55361938
43,59.56276703
32,56.45314789
38,50.85368729
25,51.30213165
35,45.68032455
33,47.67012405
53,46.85070038
27,54.26856232
58,45.52905273
26,55.63085556
33,45.39768219
39,45.56930161
55,47.96720505
65,54.99015808
57,60.89397049
40,59.59532166
27,53.10858536
63,46.68976974
14,59.62324142
20,43.43420792
41,41.46969986
74,49.04782867
66,63.91168976
52,64.19817352
45,59.21540451
63,55.62111282
67,62.18575668
45,65.65896606
69,58.2837944
101,66.43270874
40,81.37303162
35,61.51553345
63,55.36914444
62,65.00035095
22,66.80317688
66,51.51532364
29,64.9966507
55,53.14540482
41,60.25886536
33,55.97669983
42,51.38921738
27,53.36504745
42,47.3961525
65,51.38071442
58,61.20782089
83,60.66030121
56,70.76203156
52,62.91869354
20,60.15233994
48,47.21722031
38,55.11941147
53,52.97460175
62,58.3065033
144,63.07669067
92,97.11969757
76,84.17938232
63,77.16509247
135,71.38251495
100,99.20989227
96,91.74851227
82,90.35388947
151,85.46357727
101,111.9907608
82,98.190979
74,89.67900848
75,85.0082016
107,84.29802704
126,96.36333466
44,105.7792206
45,76.5366745
77,70.16414642
28,80.37265778
85,62.51729202
107,80.04381561
83,91.47342682
60,84.25885773
37,73.92653656
40,62.31851578
28,60.13485718
65,54.0812645
23,66.54425812
31,52.04453659
83,50.82684708
238,70.64588165
81,136.3470764
122,88.19091034
116,97.91819
134,98.23322296
115,106.8695831
80,102.6771851
147,90.0896225
79,114.2298813
84,93.07841492
74,91.69773102
47,87.18946838
56,75.31680298
34,75.25253296
167,65.30724335
71,114.9615707
89,85.71716309
117,87.53774261
115,98.2696991
102,99.64285278
106,95.53897858
124,96.81829071
50,104.4343338
38,78.30967712
97,68.06622314
90,88.42385864
59,89.22564697
52,77.32845306
42,71.49854279
31,65.38428497
39,58.5593338
68,58.8364296
57,69.29919434
285,66.36826324
223,156.3546906
135,143.1593933
74,116.017067
61,90.74098206
65,81.31652069
170,81.18271637
174,122.4734879
52,130.3404999
106,88.31698608
141,100.6892776
200,115.7419662
121,140.5428162
78,115.574295
56,96.58737946
82,83.7699585
90,90.27330017
79,93.7088623
56,89.34416962
151,78.69210052
139,112.8260498
121,113.1578903
116,107.3164063
107,104.7857132
62,101.2026825
89,83.67038727
163,90.35533905
137,120.0976486
52,115.1292343
65,83.71401215
79,81.81047821
57,86.06009674
173,77.70008087
79,121.0179977
181,91.95239258
307,126.8108521
179,178.1342316
208,139.6126709
249,149.6325836
156,165.8715515
110,136.9942474
74,118.5611954
48,101.7984772
164,87.95791626
257,129.0601501
270,167.9933777
399,176.128952
75,221.9337769
149,119.8377914
67,133.2432861
58,102.8582916
42,93.48303986
72,83.66400909
39,91.27314758
104,77.6350708
141,98.04271698
146,114.0167618
148,117.5410461
59,118.768074
51,85.91190338
119,75.71047211
130,99.39633179
115,107.5913391
66,103.8822556
85,85.0962677
51,88.46588135
81,75.53656006
40,83.99069214
60,69.046875
69,72.71088409
28,76.05426788
157,59.85691452
131,106.9026031
58,104.486618
151,77.96202087
115,109.0092087
68,100.9746399
51,83.22808075
46,73.27526855
52,68.8529129
103,69.69291687
56,89.45962524
88,74.64756775
71,83.78001404
88,78.54368591
148,83.90429688
500,108.3332748
73,242.4179535
79,108.433609
86,97.2527771
146,95.8812027
90,119.281456
83,102.4125977
47,97.18070221
68,81.5337677
257,85.13930511
86,158.582489
99,103.8159943
157,101.2781067
117,121.8257599
63,109.934967
71,88.14808655
110,86.15816498
116,100.1139832
119,104.4462128
66,106.3222427
60,86.49180603
59,79.69384003
80,76.9168396
49,83.65145111
0,72.10310364
80,49.34998703
53,74.2400589
0,67.74293518
51,44.598526
46,57.70319366
40,57.72305679
54,54.42824554
50,58.56369019
46,57.53485489
33,55.51330566
49,49.72927094
52,54.53798294
38,56.86351395
219,51.96156693
57,124.2557983
64,75.41283417
42,70.80943298
71,61.68723679
72,71.51195526
40,74.41625977
46,62.85998917
104,62.39875412
77,85.07682037
80,79.02134705
61,79.33721161
38,72.07992554
51,61.42776489
71,63.66306686
57,71.6699295
131,67.62763977
77,96.03321838
91,80.78015137
151,84.05522156
88,108.5912247
53,89.8996048
56,74.18663025
89,71.95478058
45,84.36354828
65,69.70333862
45,74.02285004
63,66.48980713
52,71.19539642
53,67.13981628
34,65.91309357
51,57.32851791
47,61.20155716
63,59.75669861
40,65.20321655
125,56.96072006
94,88.8597641
125,83.30373383
145,95.64645386
78,106.8075333
49,85.24159241
48,71.08010101
64,67.76753235
0,73.31855011
40,49.21837616
58,58.0716362
58,66.27578735
36,67.07408142
36,57.71437836
53,54.52680969
89,59.60752487
54,74.55973816
85,63.94154739
53,74.04311371
42,64.00439453
50,57.77134705
37,59.53427887
20,54.80774689
54,46.70908356
51,57.8535614
51,58.93438721
29,58.98827362
77,50.08397293
53,66.86446381
56,61.13314819
137,61.24519348
61,93.88442993
95,71.59844208
63,81.46538544
33,71.81043243
27,58.72607422
69,53.22247314
126,68.38106537
70,94.22711182
50,77.89849854
51,67.38046265
20,65.21350861
17,52.17049408
41,46.98054123
54,54.30762863
56,60.33184814
28,61.82018661
35,50.60496902
32,50.01533508
21,48.0881691
18,42.62851715
35,39.3549881
17,44.68503571
42,38.27881622
54,46.14690018
41,52.70850372
40,49.20009232
38,48.16831589
28,47.35110855
52,43.37891769
50,52.15708923
42,53.76401901
27,51.37365341
26,45.11330032
24,43.17521667
46,41.75456619
45,50.02054977
57,51.53614044
35,56.73758698
27,49.44640732
19,44.55721664
22,40.00188446
33,39.7209053
37,43.70755005
24,46.00927353
49,41.15372467
56,49.74934006
26,54.70477676
32,44.25586319
33,44.1190033
37,44.55921173
43,46.31022644
51,49.22246933
30,53.31290817
31,46.20969009
56,44.92990112
34,54.71129608
33,48.48420715
35,46.66072464
45,47.00643921
42,51.06367874
46,50.89102173
46,52.52902985
59,53.06301117
62,58.58329391
48,61.42528915
106,57.03106308
50,79.66181183
33,63.32176208
47,53.75034714
45,57.15020752
47,57.23763657
19,58.01651764
32,46.91791153
33,48.7821846
13,49.03922653
32,40.40864944
65,44.94692612
85,58.75205231
42,69.73394012
32,55.67063141
20,48.70757675
23,42.22838974
36,41.57206345
70,46.35478973
50,61.0642128
67,56.67076492
79,62.79920197
87,69.47792816
55,74.92566681
60,64.61833191
58,65.03393555
44,64.8730011
59,59.72150421
39,64.60642242
35,57.83439636
28,54.42258835
28,50.29987717
43,48.57743454
34,53.38399506
196,50.25309372
73,114.8231125
104,79.00206757
113,86.27683258
95,92.09952545
77,87.81993103
99,81.41885376
112,89.5619812
104,96.95249939
118,96.17134094
93,102.2437897
72,94.42462158
64,85.34950256
70,80.23258209
46,81.00863647
36,71.13811493
41,64.03778839
55,63.0618248
59,67.04760742
55,68.3276825
26,66.07962036
54,53.29235458
60,60.41239929
64,63.76607895
32,65.76525116
29,53.48426056
18,48.9954071
20,43.01369476
67,41.61572647
146,59.63176727
85,95.33979034
40,79.24559784
45,60.27002335
83,58.18845749
93,73.20833588
147,80.94664001
94,104.6469574
85,89.92332458
66,85.25954437
46,77.62186432
107,68.54836273
56,90.59183502
215,75.12437439
51,134.8667908
86,82.74552917
117,87.32911682
202,99.96256256
78,135.2753448
72,95.49263
83,87.0947876
71,89.14579773
59,84.64496613
37,78.61775208
51,67.87866974
52,69.72621918
109,69.19991302
144,90.56173706
90,107.6119537
207,90.4260025
256,133.1955719
158,157.4062042
98,128.3383331
62,105.3100815
57,88.01654816
57,82.53022766
30,80.91055298
49,69.08776093
30,72.39124298
31,63.79526901
107,60.1570549
90,87.85338593
79,85.2251358
51,80.13278961
67,67.74234772
53,70.82762909
49,65.68758392
74,62.71850967
107,71.68499756
75,86.68339539
110,77.73872375
54,90.30678558
98,71.798172
248,85.62574768
169,147.3426666
101,126.9950409
50,103.3519821
80,80.54988098
68,87.32428741
70,83.88801575
65,83.65263367
58,80.92223358
62,76.68327332
42,76.22219086
115,67.0790329
103,92.88517761
77,92.35375977
171,82.46979523
242,117.254921
190,149.6843719
81,136.9405518
116,99.16703033
187,106.171875
114,134.74617
62,112.9083023
209,91.259758
269,143.3848724
72,170.9303589
198,106.8771744
159,144.250473
95,133.6893463
80,110.3264008
